episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.7182207703590393,0.885893702507019,0.8861879706382751,0.34551364183425903,0.38954833149909973,0.3936203420162201,5,0.0,0.01,0.01,Best_RL_Improve_RL2
1,0.822160005569458,0.8300670385360718,0.8315944075584412,0.5382763147354126,0.5529760122299194,0.5632142424583435,5,0.0,0.01,0.01,Best_RL_Improve_RL2
2,0.6597426533699036,0.6876376271247864,0.6899451017379761,0.3515898585319519,0.408687025308609,0.4186820983886719,5,0.0,0.01,0.01,Best_RL_Improve_RL2
3,0.6436800956726074,0.7662623524665833,0.7675352096557617,0.35020121932029724,0.4189485013484955,0.4239468574523926,5,0.0,0.01,0.01,Best_RL_Improve_RL2
4,0.7208090424537659,0.8214786648750305,0.8301835060119629,0.49527010321617126,0.5326729416847229,0.5370712280273438,5,0.0,0.01,0.01,Best_RL_Improve_RL2
5,0.6863292455673218,0.7006771564483643,0.7024138569831848,0.45517072081565857,0.5114179849624634,0.5151543021202087,5,0.0,0.01,0.01,Best_RL_Improve_RL2
6,0.6568005084991455,0.688791811466217,0.7016641497612,0.3137913644313812,0.3582075238227844,0.3656647503376007,5,0.0,0.01,0.01,Best_RL_Improve_RL2
7,0.5940130352973938,0.699528157711029,0.699528157711029,0.4258232116699219,0.46195632219314575,0.4687657356262207,5,0.0,0.01,0.01,Best_RL_Improve_RL2
8,0.6032552719116211,0.6240671277046204,0.645672082901001,0.47420597076416016,0.4918375611305237,0.5012942552566528,5,0.0,0.01,0.01,Best_RL_Improve_RL2
9,0.8463392853736877,0.8579997420310974,0.862237274646759,0.5024361610412598,0.528730034828186,0.5410887002944946,5,0.0,0.01,0.01,Best_RL_Improve_RL2
10,0.7587931752204895,0.766481876373291,0.7905164957046509,0.5824574828147888,0.5948585271835327,0.6113279461860657,5,0.0,0.01,0.01,Best_RL_Improve_RL2
11,0.8263669013977051,0.8804094791412354,0.8813813328742981,0.23046794533729553,0.246803879737854,0.26400333642959595,5,0.0,0.01,0.01,Best_RL_Improve_RL2
12,0.7482911944389343,0.7850207090377808,0.793947160243988,0.5146069526672363,0.5520001649856567,0.5610605478286743,5,0.0,0.01,0.01,Best_RL_Improve_RL2
13,0.9151121973991394,0.9085837006568909,0.9376083612442017,0.6234041452407837,0.629487931728363,0.6491997838020325,5,0.0,0.01,0.01,Best_RL_Improve_RL2
14,0.803479015827179,0.8298377394676208,0.836450457572937,0.36326149106025696,0.38830915093421936,0.3992560803890228,5,0.0,0.01,0.01,Best_RL_Improve_RL2
15,0.8674781322479248,0.8793693780899048,0.8801237940788269,0.5478194355964661,0.5696040391921997,0.5799534916877747,5,0.0,0.01,0.01,Best_RL_Improve_RL2
16,0.8780155181884766,0.8840043544769287,0.884540319442749,0.47218257188796997,0.4715355336666107,0.4975787103176117,5,0.0,0.01,0.01,Best_RL_Improve_RL2
17,0.8420537114143372,0.8558921813964844,0.8565210103988647,0.470923513174057,0.47724899649620056,0.4891655445098877,5,0.0,0.01,0.01,Best_RL_Improve_RL2
18,0.7596834301948547,0.7897481918334961,0.793726921081543,0.48920947313308716,0.49304503202438354,0.5146124362945557,5,0.0,0.01,0.01,Best_RL_Improve_RL2
19,0.8269317746162415,0.8534803986549377,0.8609196543693542,0.417870432138443,0.4272177815437317,0.4378989338874817,5,0.0,0.01,0.01,Best_RL_Improve_RL2
20,0.8545823693275452,0.8536481261253357,0.875555694103241,0.5844607353210449,0.6157931685447693,0.6287858486175537,5,0.0,0.01,0.01,Best_RL_Improve_RL2
21,0.8683473467826843,0.9281973838806152,0.9296895861625671,0.5010221600532532,0.5157660245895386,0.5279075503349304,5,0.0,0.01,0.01,Best_RL_Improve_RL2
22,0.5384129881858826,0.556167483329773,0.5870200991630554,0.29298052191734314,0.30174294114112854,0.32674354314804077,5,0.0,0.01,0.01,Best_RL_Improve_RL2
23,0.8172339200973511,0.8350783586502075,0.8385077714920044,0.6911089420318604,0.7119705677032471,0.7222387194633484,5,0.0,0.01,0.01,Best_RL_Improve_RL2
24,0.9077751636505127,0.8907102942466736,0.9251214861869812,0.5859426856040955,0.5953476428985596,0.6131530404090881,5,0.0,0.01,0.01,Best_RL_Improve_RL2
25,0.5092577934265137,0.5195475816726685,0.5204902291297913,0.24938702583312988,0.2534545063972473,0.2749636471271515,5,0.0,0.01,0.01,Best_RL_Improve_RL2
26,0.7552673816680908,0.7725853323936462,0.7777129411697388,0.5269452333450317,0.6583689451217651,0.67596834897995,5,0.0,0.01,0.01,Best_RL_Improve_RL2
27,0.6919381618499756,0.7325677871704102,0.7374270558357239,0.4177936017513275,0.4617447257041931,0.4700790345668793,5,0.0,0.01,0.01,Best_RL_Improve_RL2
28,0.8700840473175049,0.8837600946426392,0.8869726657867432,0.43132343888282776,0.4743715226650238,0.4832477569580078,5,0.0,0.01,0.01,Best_RL_Improve_RL2
29,0.7737305760383606,0.8657215237617493,0.8675456643104553,0.3422749638557434,0.39130979776382446,0.4134443700313568,5,0.0,0.01,0.01,Best_RL_Improve_RL2
30,0.6451418995857239,0.6559773683547974,0.6605170369148254,0.37345823645591736,0.3844424784183502,0.3987972140312195,5,0.0,0.01,0.01,Best_RL_Improve_RL2
31,0.6746307015419006,0.6672677993774414,0.6875234246253967,0.4891316890716553,0.49232491850852966,0.5122007727622986,5,0.0,0.01,0.01,Best_RL_Improve_RL2
32,0.8514083623886108,0.9046476483345032,0.9249085783958435,0.4644133448600769,0.5129835605621338,0.5214786529541016,5,0.0,0.01,0.01,Best_RL_Improve_RL2
33,0.9169541001319885,0.9422997832298279,0.9442348480224609,0.670034646987915,0.6809757947921753,0.6901592016220093,5,0.0,0.01,0.01,Best_RL_Improve_RL2
34,0.32589390873908997,0.5168288350105286,0.5215224623680115,0.16343238949775696,0.2129708230495453,0.22576987743377686,5,0.0,0.01,0.01,Best_RL_Improve_RL2
35,0.9196152091026306,0.9278905987739563,0.9299898147583008,0.7279340028762817,0.7480678558349609,0.7556422352790833,5,0.0,0.01,0.01,Best_RL_Improve_RL2
36,0.21253611147403717,0.842563271522522,0.842563271522522,0.08628477156162262,0.2200818806886673,0.24136987328529358,5,0.0,0.01,0.01,Best_RL_Improve_RL2
37,0.7437273263931274,0.7836071252822876,0.7861829400062561,0.3662416338920593,0.46451258659362793,0.46820077300071716,5,0.0,0.01,0.01,Best_RL_Improve_RL2
38,0.7557060122489929,0.8056414723396301,0.805745005607605,0.4173794388771057,0.4774496555328369,0.49092692136764526,5,0.0,0.01,0.01,Best_RL_Improve_RL2
39,0.8782903552055359,0.912631094455719,0.9133754372596741,0.25133180618286133,0.2647194266319275,0.2746654152870178,5,0.0,0.01,0.01,Best_RL_Improve_RL2
40,0.6578214764595032,0.6601758599281311,0.6684774160385132,0.4042320251464844,0.4163739085197449,0.43089836835861206,5,0.0,0.01,0.01,Best_RL_Improve_RL2
41,0.879567563533783,0.9007949233055115,0.9044783115386963,0.315644234418869,0.33167797327041626,0.343994677066803,5,0.0,0.01,0.01,Best_RL_Improve_RL2
42,0.7552445530891418,0.8128754496574402,0.8256348967552185,0.40016525983810425,0.4204980731010437,0.4300260543823242,5,0.0,0.01,0.01,Best_RL_Improve_RL2
43,0.7082641124725342,0.7363702654838562,0.7556641697883606,0.45493993163108826,0.5005475282669067,0.5234624147415161,5,0.0,0.01,0.01,Best_RL_Improve_RL2
44,0.6692445278167725,0.6950886845588684,0.7161485552787781,0.3966495096683502,0.48167189955711365,0.49767598509788513,5,0.0,0.01,0.01,Best_RL_Improve_RL2
45,0.4434709846973419,0.46263372898101807,0.4675343334674835,0.16253091394901276,0.16453136503696442,0.17978578805923462,5,0.0,0.01,0.01,Best_RL_Improve_RL2
46,0.5411145091056824,0.5960031151771545,0.6038981080055237,0.2600242495536804,0.29440927505493164,0.30805864930152893,5,0.0,0.01,0.01,Best_RL_Improve_RL2
47,0.7940048575401306,0.7983123660087585,0.8106704950332642,0.556150496006012,0.5857021808624268,0.6082462072372437,5,0.0,0.01,0.01,Best_RL_Improve_RL2
48,0.5323063731193542,0.5629963874816895,0.5664993524551392,0.41764122247695923,0.4426940977573395,0.44796332716941833,5,0.0,0.01,0.01,Best_RL_Improve_RL2
49,0.637230396270752,0.6973093152046204,0.6996081471443176,0.36344248056411743,0.39601460099220276,0.40509361028671265,5,0.0,0.01,0.01,Best_RL_Improve_RL2
50,0.7666469812393188,0.7833072543144226,0.7926409244537354,0.3779184818267822,0.3917916715145111,0.41277894377708435,5,0.0,0.01,0.01,Best_RL_Improve_RL2
51,0.6304166316986084,0.6785809397697449,0.6999537348747253,0.3963770866394043,0.43936270475387573,0.4492645263671875,5,0.0,0.01,0.01,Best_RL_Improve_RL2
52,0.7868127226829529,0.8658419847488403,0.868877112865448,0.5735035538673401,0.5979754328727722,0.6121066808700562,5,0.0,0.01,0.01,Best_RL_Improve_RL2
53,0.7346154451370239,0.7412331700325012,0.7691764831542969,0.4712689518928528,0.48010319471359253,0.5038242936134338,5,0.0,0.01,0.01,Best_RL_Improve_RL2
54,0.8848033547401428,0.9124136567115784,0.9196065068244934,0.5374253392219543,0.5642071962356567,0.573552131652832,5,0.0,0.01,0.01,Best_RL_Improve_RL2
55,0.7765278220176697,0.818122923374176,0.8227200508117676,0.5128676295280457,0.5407822728157043,0.5450417995452881,5,0.0,0.01,0.01,Best_RL_Improve_RL2
56,0.7352705001831055,0.7588469386100769,0.7634466290473938,0.3003389537334442,0.304064005613327,0.3264741003513336,5,0.0,0.01,0.01,Best_RL_Improve_RL2
57,0.7333746552467346,0.8774794340133667,0.8775812983512878,0.408374160528183,0.46354207396507263,0.48254308104515076,5,0.0,0.01,0.01,Best_RL_Improve_RL2
58,0.3566732406616211,0.8737676739692688,0.8737676739692688,0.2346338927745819,0.4906700551509857,0.4998658299446106,5,0.0,0.01,0.01,Best_RL_Improve_RL2
59,0.6676025986671448,0.6825649738311768,0.701580822467804,0.42586031556129456,0.43009519577026367,0.46097898483276367,5,0.0,0.01,0.01,Best_RL_Improve_RL2
60,0.8096626400947571,0.8487986922264099,0.8535452485084534,0.24575857818126678,0.3327372670173645,0.3370060622692108,5,0.0,0.01,0.01,Best_RL_Improve_RL2
61,0.6361622214317322,0.8124150037765503,0.8157432675361633,0.5268033146858215,0.6865151524543762,0.6922928690910339,5,0.0,0.01,0.01,Best_RL_Improve_RL2
62,0.6396744847297668,0.6492890119552612,0.6694108843803406,0.49982666969299316,0.5274714231491089,0.5471150279045105,5,0.0,0.01,0.01,Best_RL_Improve_RL2
63,0.8852707147598267,0.9077572822570801,0.9099466800689697,0.41626057028770447,0.45897752046585083,0.47450774908065796,5,0.0,0.01,0.01,Best_RL_Improve_RL2
64,0.33621394634246826,0.3478744924068451,0.3507049083709717,0.12107688188552856,0.1237521767616272,0.12780874967575073,5,0.0,0.01,0.01,Best_RL_Improve_RL2
65,0.5584784746170044,0.5838054418563843,0.5857283473014832,0.4719622731208801,0.49847880005836487,0.5029078722000122,5,0.0,0.01,0.01,Best_RL_Improve_RL2
66,0.432302325963974,0.6340292096138,0.6340292096138,0.33063438534736633,0.427835077047348,0.4351687431335449,5,0.0,0.01,0.01,Best_RL_Improve_RL2
67,0.7922520637512207,0.814181923866272,0.8148233890533447,0.30484092235565186,0.344184011220932,0.3554169535636902,5,0.0,0.01,0.01,Best_RL_Improve_RL2
68,0.7798149585723877,0.8161947131156921,0.8193816542625427,0.42910337448120117,0.4651881158351898,0.46979957818984985,5,0.0,0.01,0.01,Best_RL_Improve_RL2
69,0.40278950333595276,0.4469902217388153,0.48531073331832886,0.27899986505508423,0.3118378818035126,0.32956504821777344,5,0.0,0.01,0.01,Best_RL_Improve_RL2
70,0.5186700224876404,0.5282558798789978,0.5355609059333801,0.27512502670288086,0.27924469113349915,0.2914283573627472,5,0.0,0.01,0.01,Best_RL_Improve_RL2
71,0.6268035173416138,0.7677905559539795,0.8105669021606445,0.32602459192276,0.34910455346107483,0.3848103880882263,5,0.0,0.01,0.01,Best_RL_Improve_RL2
72,0.6827199459075928,0.7094857692718506,0.7096738219261169,0.465587317943573,0.48903489112854004,0.5033619403839111,5,0.0,0.01,0.01,Best_RL_Improve_RL2
73,0.9519026279449463,0.9838308691978455,0.9844509363174438,0.49968475103378296,0.5386921167373657,0.5514872670173645,5,0.0,0.01,0.01,Best_RL_Improve_RL2
74,0.4830692708492279,0.49927181005477905,0.505476176738739,0.30843138694763184,0.31216317415237427,0.3293522298336029,5,0.0,0.01,0.01,Best_RL_Improve_RL2
75,0.7678477764129639,0.7846340537071228,0.8179249167442322,0.39815616607666016,0.40964823961257935,0.4322590231895447,5,0.0,0.01,0.01,Best_RL_Improve_RL2
76,0.6693170666694641,0.7045888304710388,0.7115563154220581,0.4330516457557678,0.4998108446598053,0.5125266313552856,5,0.0,0.01,0.01,Best_RL_Improve_RL2
77,0.4778187572956085,0.49423009157180786,0.49677374958992004,0.3940066695213318,0.3997129797935486,0.41900962591171265,5,0.0,0.01,0.01,Best_RL_Improve_RL2
