episode,normalized_cumulative_reward,final_rewards,best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.44733890891075134,0.4890880584716797,0.8222252130508423,5,0.0,0.01,0.01,Best_RL
1,0.6353265047073364,0.633009135723114,0.8641833662986755,5,0.0,0.01,0.01,Best_RL
2,0.5715094804763794,0.5996564030647278,0.8878837823867798,5,0.0,0.01,0.01,Best_RL
3,0.4513859152793884,0.47206735610961914,0.8640116453170776,5,0.0,0.01,0.01,Best_RL
4,0.44100308418273926,0.47057992219924927,0.6397336721420288,5,0.0,0.01,0.01,Best_RL
5,0.5011715888977051,0.533626914024353,0.7388556599617004,5,0.0,0.01,0.01,Best_RL
6,0.5708104372024536,0.6254540085792542,0.654486358165741,5,0.0,0.01,0.01,Best_RL
7,0.5304530262947083,0.5589020252227783,0.8047716617584229,5,0.0,0.01,0.01,Best_RL
8,0.6085978746414185,0.638518750667572,0.7765614986419678,5,0.0,0.01,0.01,Best_RL
9,0.781216025352478,0.8014081120491028,0.962256669998169,5,0.0,0.01,0.01,Best_RL
10,0.648023784160614,0.6691896319389343,0.8863648176193237,5,0.0,0.01,0.01,Best_RL
11,0.48230037093162537,0.5511223673820496,0.6602131128311157,5,0.0,0.01,0.01,Best_RL
12,0.4435213506221771,0.4867030084133148,0.629611074924469,5,0.0,0.01,0.01,Best_RL
13,0.499246209859848,0.5229946970939636,0.774848997592926,5,0.0,0.01,0.01,Best_RL
14,0.5062135457992554,0.5361857414245605,0.8191139101982117,5,0.0,0.01,0.01,Best_RL
15,0.6266825795173645,0.6500037908554077,0.8701886534690857,5,0.0,0.01,0.01,Best_RL
16,0.4661664068698883,0.4748949110507965,0.7569386959075928,5,0.0,0.01,0.01,Best_RL
17,0.6508294939994812,0.6827675104141235,0.7432266473770142,5,0.0,0.01,0.01,Best_RL
18,0.3164782226085663,0.3473469316959381,0.6616407632827759,5,0.0,0.01,0.01,Best_RL
19,0.6972332000732422,0.7266743779182434,0.8804931640625,5,0.0,0.01,0.01,Best_RL
20,0.5428253412246704,0.6144663095474243,0.7985654473304749,5,0.0,0.01,0.01,Best_RL
21,0.47683078050613403,0.538716197013855,0.943767786026001,5,0.0,0.01,0.01,Best_RL
22,0.5936744809150696,0.6449145078659058,0.8866618871688843,5,0.0,0.01,0.01,Best_RL
23,0.35984450578689575,0.3806406855583191,0.9187831282615662,5,0.0,0.01,0.01,Best_RL
24,0.49283209443092346,0.5168517827987671,0.936460554599762,5,0.0,0.01,0.01,Best_RL
25,0.6119297742843628,0.62115478515625,0.8894729614257812,5,0.0,0.01,0.01,Best_RL
26,0.46095332503318787,0.47943440079689026,0.7922914028167725,5,0.0,0.01,0.01,Best_RL
27,0.6366764903068542,0.6732572913169861,0.9661824703216553,5,0.0,0.01,0.01,Best_RL
28,0.6559540033340454,0.6879194974899292,0.9269976019859314,5,0.0,0.01,0.01,Best_RL
29,0.6186475157737732,0.6351411938667297,0.8297760486602783,5,0.0,0.01,0.01,Best_RL
30,0.5933530926704407,0.6544092297554016,0.8669188618659973,5,0.0,0.01,0.01,Best_RL
31,0.5196430087089539,0.5604357719421387,0.9273777604103088,5,0.0,0.01,0.01,Best_RL
32,0.39104312658309937,0.4203726649284363,0.9076067805290222,5,0.0,0.01,0.01,Best_RL
33,0.5610431432723999,0.5634128451347351,0.8096625804901123,5,0.0,0.01,0.01,Best_RL
34,0.41896718740463257,0.4308772087097168,0.806699275970459,5,0.0,0.01,0.01,Best_RL
35,0.3806033432483673,0.3907567858695984,0.9244054555892944,5,0.0,0.01,0.01,Best_RL
36,0.8004573583602905,0.8178839683532715,0.8977383971214294,5,0.0,0.01,0.01,Best_RL
37,0.7338298559188843,0.7754446268081665,0.9186564087867737,5,0.0,0.01,0.01,Best_RL
38,0.6575226783752441,0.72044438123703,0.880844235420227,5,0.0,0.01,0.01,Best_RL
39,0.29525452852249146,0.4156557023525238,0.8787031173706055,5,0.0,0.01,0.01,Best_RL
40,0.397051066160202,0.4409247040748596,0.7444872260093689,5,0.0,0.01,0.01,Best_RL
41,0.6757901310920715,0.6922715306282043,0.9757168292999268,5,0.0,0.01,0.01,Best_RL
42,0.4059658944606781,0.4107680320739746,0.719204306602478,5,0.0,0.01,0.01,Best_RL
43,0.6235735416412354,0.6467114686965942,0.856173038482666,5,0.0,0.01,0.01,Best_RL
44,0.5626903772354126,0.6156450510025024,0.852196455001831,5,0.0,0.01,0.01,Best_RL
45,0.3612891137599945,0.3706951141357422,0.7207967042922974,5,0.0,0.01,0.01,Best_RL
46,0.5049151182174683,0.5264534950256348,0.9197278618812561,5,0.0,0.01,0.01,Best_RL
