episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.6405020952224731,0.6605331301689148,0.6625252366065979,0.33161452412605286,0.34267598390579224,0.3477165997028351,5,10.0,0.01,0.01,Heuristic_Random
1,0.653282105922699,0.6667424440383911,0.6713573932647705,0.22540302574634552,0.2364739179611206,0.24633002281188965,5,10.0,0.01,0.01,Heuristic_Random
2,0.6281916499137878,0.6489214897155762,0.6992897391319275,0.23846888542175293,0.24675962328910828,0.30880972743034363,5,10.0,0.01,0.01,Heuristic_Random
3,0.7609931230545044,0.7993510961532593,0.8338031768798828,0.6520112752914429,0.6968713998794556,0.7121678590774536,5,10.0,0.01,0.01,Heuristic_Random
4,0.7326123714447021,0.7633072137832642,0.7773421406745911,0.49144142866134644,0.5323896408081055,0.5571804046630859,5,10.0,0.01,0.01,Heuristic_Random
5,0.7418776750564575,0.8696946501731873,0.8704823851585388,0.5458184480667114,0.5930367708206177,0.6174793243408203,5,10.0,0.01,0.01,Heuristic_Random
6,0.7664234638214111,0.753341555595398,0.7830745577812195,0.49976977705955505,0.5058836340904236,0.5585566759109497,5,10.0,0.01,0.01,Heuristic_Random
7,0.7921305894851685,0.9558171629905701,0.963313639163971,0.31613612174987793,0.3559555113315582,0.35861635208129883,5,10.0,0.01,0.01,Heuristic_Random
8,0.7746453285217285,0.7873785495758057,0.7888574004173279,0.2666943669319153,0.2755436301231384,0.2866903841495514,5,10.0,0.01,0.01,Heuristic_Random
9,0.5493497252464294,0.5811188220977783,0.5843037366867065,0.17555081844329834,0.18322236835956573,0.18698345124721527,5,10.0,0.01,0.01,Heuristic_Random
10,0.7625763416290283,0.776446521282196,0.7819710969924927,0.5689261555671692,0.5797473192214966,0.5971633195877075,5,10.0,0.01,0.01,Heuristic_Random
11,0.4855971932411194,0.5451106429100037,0.5455873608589172,0.31190672516822815,0.3580756187438965,0.3649141192436218,5,10.0,0.01,0.01,Heuristic_Random
12,0.6036388278007507,0.6411702632904053,0.6435246467590332,0.34481069445610046,0.3618014454841614,0.3780953288078308,5,10.0,0.01,0.01,Heuristic_Random
13,0.7622556090354919,0.7510963082313538,0.7989597916603088,0.4171835482120514,0.4281735420227051,0.44830673933029175,5,10.0,0.01,0.01,Heuristic_Random
14,0.6732234358787537,0.6855815649032593,0.6918472051620483,0.28545501828193665,0.29929667711257935,0.3242168128490448,5,10.0,0.01,0.01,Heuristic_Random
15,0.7179524898529053,0.7406820058822632,0.7463868856430054,0.317661315202713,0.3329938054084778,0.3410847783088684,5,10.0,0.01,0.01,Heuristic_Random
16,0.6901724934577942,0.7058212161064148,0.7062230706214905,0.23233267664909363,0.23740527033805847,0.24111118912696838,5,10.0,0.01,0.01,Heuristic_Random
17,0.6921495199203491,0.7552527189254761,0.7558838129043579,0.23251867294311523,0.253047913312912,0.2563296854496002,5,10.0,0.01,0.01,Heuristic_Random
18,0.9081556797027588,0.9497042298316956,0.9528594613075256,0.27210694551467896,0.28382012248039246,0.29125505685806274,5,10.0,0.01,0.01,Heuristic_Random
19,0.7919463515281677,0.8688070774078369,0.9046688675880432,0.3678128719329834,0.37701892852783203,0.4107455313205719,5,10.0,0.01,0.01,Heuristic_Random
20,0.6282872557640076,0.6801660656929016,0.7192743420600891,0.25482162833213806,0.2772080898284912,0.37518131732940674,5,10.0,0.01,0.01,Heuristic_Random
21,0.8192486763000488,0.8220396041870117,0.8319254517555237,0.38836777210235596,0.39805346727371216,0.4067784249782562,5,10.0,0.01,0.01,Heuristic_Random
22,0.6959542036056519,0.7416170835494995,0.7422544360160828,0.353201299905777,0.3972185254096985,0.4082578122615814,5,10.0,0.01,0.01,Heuristic_Random
23,0.5578758120536804,0.568639874458313,0.574492335319519,0.23488087952136993,0.24877455830574036,0.2582245171070099,5,10.0,0.01,0.01,Heuristic_Random
24,0.7027078866958618,0.7215728163719177,0.7269695997238159,0.4366680085659027,0.4343605935573578,0.5096056461334229,5,10.0,0.01,0.01,Heuristic_Random
25,0.6761855483055115,0.6953215599060059,0.702564001083374,0.43299809098243713,0.445432186126709,0.4553512632846832,5,10.0,0.01,0.01,Heuristic_Random
26,0.6431604027748108,0.728532612323761,0.7301924228668213,0.625372588634491,0.658659815788269,0.6632850170135498,5,10.0,0.01,0.01,Heuristic_Random
27,0.532174825668335,0.5793203115463257,0.5802016258239746,0.1699601709842682,0.18697872757911682,0.18897922337055206,5,10.0,0.01,0.01,Heuristic_Random
28,0.2788848280906677,0.28361275792121887,0.296697735786438,0.12114818394184113,0.12975330650806427,0.1501183807849884,5,10.0,0.01,0.01,Heuristic_Random
29,0.649333655834198,0.6796596050262451,0.6867801547050476,0.5447407960891724,0.5445054769515991,0.6041701436042786,5,10.0,0.01,0.01,Heuristic_Random
30,0.654723584651947,0.709098756313324,0.7218801379203796,0.2517404556274414,0.2681421935558319,0.2766728103160858,5,10.0,0.01,0.01,Heuristic_Random
31,0.6707224249839783,0.7500964999198914,0.7526129484176636,0.6040461659431458,0.6963405013084412,0.7047765851020813,5,10.0,0.01,0.01,Heuristic_Random
32,0.5459257364273071,0.5585082769393921,0.5716087818145752,0.4196917414665222,0.4361945688724518,0.445770800113678,5,10.0,0.01,0.01,Heuristic_Random
33,0.6813936829566956,0.6904193758964539,0.6943326592445374,0.466473251581192,0.47416526079177856,0.48683294653892517,5,10.0,0.01,0.01,Heuristic_Random
34,0.656877875328064,0.6534944772720337,0.6677341461181641,0.3828200697898865,0.39240869879722595,0.4006105065345764,5,10.0,0.01,0.01,Heuristic_Random
35,0.5104662179946899,0.5199260115623474,0.5378279089927673,0.2124548852443695,0.2111378163099289,0.22672982513904572,5,10.0,0.01,0.01,Heuristic_Random
36,0.6814096570014954,0.7398725152015686,0.7402673959732056,0.4855004847049713,0.5233800411224365,0.5308673977851868,5,10.0,0.01,0.01,Heuristic_Random
37,0.8548816442489624,0.8625749945640564,0.8880032896995544,0.42335858941078186,0.4496763348579407,0.45803481340408325,5,10.0,0.01,0.01,Heuristic_Random
38,0.6431624889373779,0.6768706440925598,0.6992203593254089,0.4491541385650635,0.4742105007171631,0.48286914825439453,5,10.0,0.01,0.01,Heuristic_Random
39,0.6715874671936035,0.6947073340415955,0.7038557529449463,0.3520163893699646,0.36504629254341125,0.37185409665107727,5,10.0,0.01,0.01,Heuristic_Random
40,0.3203168213367462,0.32969674468040466,0.33059701323509216,0.14038027822971344,0.1413264274597168,0.14781980216503143,5,10.0,0.01,0.01,Heuristic_Random
41,0.23746635019779205,0.25915399193763733,0.25915399193763733,0.09196264296770096,0.10292563587427139,0.10420267283916473,5,10.0,0.01,0.01,Heuristic_Random
42,0.21415603160858154,0.2494581788778305,0.25804403424263,0.1571504771709442,0.17365887761116028,0.18344691395759583,5,10.0,0.01,0.01,Heuristic_Random
43,0.8176172375679016,0.8325656652450562,0.8334197402000427,0.5306926965713501,0.53779536485672,0.5516100525856018,5,10.0,0.01,0.01,Heuristic_Random
44,0.7314276695251465,0.7850989103317261,0.7873754501342773,0.3657611906528473,0.3933032155036926,0.40392351150512695,5,10.0,0.01,0.01,Heuristic_Random
45,0.6900409460067749,0.6857059597969055,0.7211049199104309,0.5285303592681885,0.5317673087120056,0.5525849461555481,5,10.0,0.01,0.01,Heuristic_Random
46,0.48903733491897583,0.5237383246421814,0.5237383246421814,0.29913637042045593,0.34803661704063416,0.35795530676841736,5,10.0,0.01,0.01,Heuristic_Random
47,0.6622176170349121,0.6815020442008972,0.6838998794555664,0.2904096245765686,0.3116951584815979,0.31967058777809143,5,10.0,0.01,0.01,Heuristic_Random
48,0.6972670555114746,0.7250726222991943,0.7594332695007324,0.27246060967445374,0.27271491289138794,0.3268679976463318,5,10.0,0.01,0.01,Heuristic_Random
49,0.7570215463638306,0.7713333964347839,0.7805390954017639,0.4107818007469177,0.4294653832912445,0.43829241394996643,5,10.0,0.01,0.01,Heuristic_Random
50,0.1776542216539383,0.1798958033323288,0.18220186233520508,0.10447009652853012,0.1110706552863121,0.11608822643756866,5,10.0,0.01,0.01,Heuristic_Random
51,0.6450560092926025,0.697777509689331,0.6987195014953613,0.5027607679367065,0.5527669191360474,0.557403028011322,5,10.0,0.01,0.01,Heuristic_Random
52,0.795794665813446,0.8187417387962341,0.8266180753707886,0.30404672026634216,0.31146734952926636,0.3154032528400421,5,10.0,0.01,0.01,Heuristic_Random
53,0.49141597747802734,0.526797890663147,0.5347671508789062,0.43071049451828003,0.47375479340553284,0.4864335060119629,5,10.0,0.01,0.01,Heuristic_Random
54,0.5542148351669312,0.5275195240974426,0.5927241444587708,0.24216637015342712,0.23843011260032654,0.25761669874191284,5,10.0,0.01,0.01,Heuristic_Random
