episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.4740574359893799,0.5267781019210815,0.5329874753952026,0.26638469099998474,0.28030744194984436,0.29288482666015625,5,10.0,0.01,0.01,Heuristic_Spherical
1,0.29232123494148254,0.282314270734787,0.30183494091033936,0.19505806267261505,0.19775453209877014,0.20582988858222961,5,10.0,0.01,0.01,Heuristic_Spherical
2,0.3476274609565735,0.369507372379303,0.3761231601238251,0.2325448989868164,0.24393054842948914,0.255953311920166,5,10.0,0.01,0.01,Heuristic_Spherical
3,0.1374816745519638,0.17224818468093872,0.17881572246551514,0.05842537805438042,0.06531669199466705,0.0700274258852005,5,10.0,0.01,0.01,Heuristic_Spherical
4,0.25337687134742737,0.2641529142856598,0.2981182932853699,0.13028080761432648,0.1419295072555542,0.15150418877601624,5,10.0,0.01,0.01,Heuristic_Spherical
5,0.36085444688796997,0.3617148697376251,0.3826635181903839,0.2663348913192749,0.2885449528694153,0.29367321729660034,5,10.0,0.01,0.01,Heuristic_Spherical
6,0.489152729511261,0.5570060610771179,0.5576731562614441,0.31446343660354614,0.3341703712940216,0.3401711583137512,5,10.0,0.01,0.01,Heuristic_Spherical
7,0.3260306119918823,0.33921143412590027,0.3448387384414673,0.2517530620098114,0.2645885944366455,0.2692066729068756,5,10.0,0.01,0.01,Heuristic_Spherical
8,0.5739846229553223,0.5880414247512817,0.5883732438087463,0.43016472458839417,0.4583493769168854,0.4665926396846771,5,10.0,0.01,0.01,Heuristic_Spherical
9,0.49338704347610474,0.6988716721534729,0.7097575068473816,0.20099124312400818,0.24235615134239197,0.2511679530143738,5,10.0,0.01,0.01,Heuristic_Spherical
10,0.5478367805480957,0.8567218780517578,0.8661113381385803,0.12769141793251038,0.18940117955207825,0.196010559797287,5,10.0,0.01,0.01,Heuristic_Spherical
11,0.17266716063022614,0.23887470364570618,0.23906762897968292,0.06801211833953857,0.08307583630084991,0.08954364061355591,5,10.0,0.01,0.01,Heuristic_Spherical
12,0.5254988670349121,0.5977749228477478,0.6349718570709229,0.3115271329879761,0.342271089553833,0.35826244950294495,5,10.0,0.01,0.01,Heuristic_Spherical
13,0.09229076653718948,0.08743544667959213,0.10316650569438934,0.05368107557296753,0.06112850829958916,0.07137282937765121,5,10.0,0.01,0.01,Heuristic_Spherical
14,0.4315493106842041,0.5260373950004578,0.5265688896179199,0.18168006837368011,0.21070465445518494,0.21445682644844055,5,10.0,0.01,0.01,Heuristic_Spherical
15,0.33165696263313293,0.3522978723049164,0.36642950773239136,0.2944519519805908,0.3139544129371643,0.32378605008125305,5,10.0,0.01,0.01,Heuristic_Spherical
16,0.6253347992897034,0.6243018507957458,0.6320399045944214,0.26864224672317505,0.26626649498939514,0.28130602836608887,5,10.0,0.01,0.01,Heuristic_Spherical
17,0.633496105670929,0.6723180413246155,0.6730836629867554,0.3479660451412201,0.3715939223766327,0.3751092553138733,5,10.0,0.01,0.01,Heuristic_Spherical
