episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.8119114637374878,0.8393096327781677,0.8659271597862244,0.5266607999801636,0.6139639616012573,0.6256691813468933,5,10.0,0.01,0.01,Hybrid_Random
1,0.8590146899223328,0.8520787954330444,0.8716030120849609,0.37394577264785767,0.3788115978240967,0.397174209356308,5,10.0,0.01,0.01,Hybrid_Random
2,0.6179393529891968,0.7554709911346436,0.7645605802536011,0.221755713224411,0.25738707184791565,0.27025362849235535,5,10.0,0.01,0.01,Hybrid_Random
3,0.3822101652622223,0.3966582715511322,0.3972846567630768,0.28503817319869995,0.31104665994644165,0.32131457328796387,5,10.0,0.01,0.01,Hybrid_Random
4,0.6267834305763245,0.647526204586029,0.6570536494255066,0.3151319622993469,0.3350427746772766,0.341666042804718,5,10.0,0.01,0.01,Hybrid_Random
5,0.6159851551055908,0.6596162915229797,0.6633166074752808,0.42209023237228394,0.4433349072933197,0.4542437493801117,5,10.0,0.01,0.01,Hybrid_Random
6,0.6284745931625366,0.6771196126937866,0.6834215521812439,0.4722782075405121,0.5237218141555786,0.5570169687271118,5,10.0,0.01,0.01,Hybrid_Random
7,0.4221365749835968,0.4463784992694855,0.4529845714569092,0.20451223850250244,0.24076135456562042,0.246869757771492,5,10.0,0.01,0.01,Hybrid_Random
8,0.8896878957748413,0.8966782689094543,0.9059433341026306,0.5787023305892944,0.5977409482002258,0.6027674674987793,5,10.0,0.01,0.01,Hybrid_Random
9,0.9008790850639343,0.9360663890838623,0.9365288019180298,0.5300514698028564,0.6067284345626831,0.6101255416870117,5,10.0,0.01,0.01,Hybrid_Random
10,0.7758484482765198,0.7875250577926636,0.7881090044975281,0.5667217969894409,0.584449291229248,0.5935547351837158,5,10.0,0.01,0.01,Hybrid_Random
11,0.5536074638366699,0.6055839657783508,0.608770489692688,0.44223088026046753,0.46528226137161255,0.47303685545921326,5,10.0,0.01,0.01,Hybrid_Random
12,0.8575702905654907,0.8358038663864136,0.8761221170425415,0.5654309988021851,0.5890347957611084,0.6018486618995667,5,10.0,0.01,0.01,Hybrid_Random
13,0.7573212385177612,0.7754180431365967,0.7771667242050171,0.39106470346450806,0.3975563049316406,0.41219577193260193,5,10.0,0.01,0.01,Hybrid_Random
