episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.4331603944301605,0.4537685811519623,0.4621436595916748,0.2801269590854645,0.29334717988967896,0.31235259771347046,5,10.0,0.01,0.01,Hybrid_Spherical
1,0.40339115262031555,0.4659595489501953,0.47020938992500305,0.2571132183074951,0.3073465824127197,0.32069289684295654,5,10.0,0.01,0.01,Hybrid_Spherical
2,0.46683162450790405,0.49571430683135986,0.521811842918396,0.23132915794849396,0.25666332244873047,0.2679622173309326,5,10.0,0.01,0.01,Hybrid_Spherical
3,0.5822539925575256,0.7905638217926025,0.8005052804946899,0.3394841253757477,0.40285104513168335,0.411320298910141,5,10.0,0.01,0.01,Hybrid_Spherical
4,0.3958440124988556,0.40118134021759033,0.41002726554870605,0.23713430762290955,0.29604098200798035,0.3031957745552063,5,10.0,0.01,0.01,Hybrid_Spherical
5,0.7503787279129028,0.7683008313179016,0.7742387652397156,0.42691248655319214,0.43401461839675903,0.45594802498817444,5,10.0,0.01,0.01,Hybrid_Spherical
6,0.5318495035171509,0.5846267938613892,0.5857374668121338,0.342027485370636,0.3613160252571106,0.36724185943603516,5,10.0,0.01,0.01,Hybrid_Spherical
7,0.6515211462974548,0.7164849042892456,0.7198679447174072,0.3635652959346771,0.38029634952545166,0.4075058102607727,5,10.0,0.01,0.01,Hybrid_Spherical
8,0.4714739918708801,0.6235296130180359,0.6393657326698303,0.3149781823158264,0.4146149754524231,0.42943382263183594,5,10.0,0.01,0.01,Hybrid_Spherical
9,0.7594473958015442,0.9351714253425598,0.9424679279327393,0.31342610716819763,0.3831457495689392,0.3944341540336609,5,10.0,0.01,0.01,Hybrid_Spherical
10,0.31772229075431824,0.37031877040863037,0.370597243309021,0.2552262246608734,0.284709632396698,0.29407206177711487,5,10.0,0.01,0.01,Hybrid_Spherical
11,0.34527692198753357,0.38645026087760925,0.39072757959365845,0.1446872055530548,0.15617212653160095,0.17747762799263,5,10.0,0.01,0.01,Hybrid_Spherical
12,0.41221940517425537,0.509863555431366,0.5099849700927734,0.2127927839756012,0.39771896600723267,0.40976858139038086,5,10.0,0.01,0.01,Hybrid_Spherical
13,0.5124106407165527,0.5434516668319702,0.5556297898292542,0.3257303833961487,0.36758384108543396,0.3835121691226959,5,10.0,0.01,0.01,Hybrid_Spherical
14,0.2794722020626068,0.37776052951812744,0.39486852288246155,0.1371002495288849,0.2084353268146515,0.22569791972637177,5,10.0,0.01,0.01,Hybrid_Spherical
15,0.600753128528595,0.624072253704071,0.6277676820755005,0.15504339337348938,0.16053438186645508,0.1739932745695114,5,10.0,0.01,0.01,Hybrid_Spherical
16,0.533776044845581,0.5538933277130127,0.6496586203575134,0.1964305341243744,0.2451448142528534,0.2971399128437042,5,10.0,0.01,0.01,Hybrid_Spherical
17,0.35172465443611145,0.5568167567253113,0.5803799033164978,0.2331586629152298,0.319430947303772,0.32861319184303284,5,10.0,0.01,0.01,Hybrid_Spherical
18,0.3944340944290161,0.40074726939201355,0.4084912836551666,0.18461951613426208,0.19170333445072174,0.21858549118041992,5,10.0,0.01,0.01,Hybrid_Spherical
19,0.7259676456451416,0.9619508981704712,0.9638634324073792,0.37149739265441895,0.5053184628486633,0.5109390616416931,5,10.0,0.01,0.01,Hybrid_Spherical
20,0.5075784921646118,0.5244007110595703,0.5262239575386047,0.1561058908700943,0.17064589262008667,0.18163856863975525,5,10.0,0.01,0.01,Hybrid_Spherical
21,0.31027907133102417,0.3106801509857178,0.3465712368488312,0.11361000686883926,0.12114238739013672,0.1425541192293167,5,10.0,0.01,0.01,Hybrid_Spherical
22,0.5681415796279907,0.6641471982002258,0.6854520440101624,0.3619973659515381,0.40083765983581543,0.4141673147678375,5,10.0,0.01,0.01,Hybrid_Spherical
23,0.3682408928871155,0.3952552378177643,0.4306051731109619,0.19223016500473022,0.21479196846485138,0.22998397052288055,5,10.0,0.01,0.01,Hybrid_Spherical
24,0.807054877281189,0.8571579456329346,0.8577280044555664,0.3096144199371338,0.3247806429862976,0.3409560024738312,5,10.0,0.01,0.01,Hybrid_Spherical
25,0.5805456042289734,0.6299166679382324,0.6299166679382324,0.4080926775932312,0.44648322463035583,0.4507702887058258,5,10.0,0.01,0.01,Hybrid_Spherical
26,0.3336355686187744,0.3639741837978363,0.36929851770401,0.2128479927778244,0.237188458442688,0.24805442988872528,5,10.0,0.01,0.01,Hybrid_Spherical
27,0.5724383592605591,0.659726083278656,0.668253481388092,0.1466219574213028,0.16337555646896362,0.1753522902727127,5,10.0,0.01,0.01,Hybrid_Spherical
