episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.6115121245384216,0.6672723293304443,0.6678652167320251,0.2369629144668579,0.2765122056007385,0.28518056869506836,5,10.0,0.01,0.01,RL_Improve_Random
1,0.7470214366912842,0.7807392477989197,0.7831425666809082,0.41517800092697144,0.4317381978034973,0.44600075483322144,5,10.0,0.01,0.01,RL_Improve_Random
2,0.8232663869857788,0.833977222442627,0.8400360345840454,0.5365570783615112,0.5532833337783813,0.5671181678771973,5,10.0,0.01,0.01,RL_Improve_Random
3,0.6602272987365723,0.8475695252418518,0.8475695252418518,0.5425047874450684,0.612371563911438,0.6433953642845154,5,10.0,0.01,0.01,RL_Improve_Random
4,0.6868670582771301,0.742283284664154,0.7547659873962402,0.3967044949531555,0.42944008111953735,0.43952855467796326,5,10.0,0.01,0.01,RL_Improve_Random
5,0.8076338768005371,0.8812726140022278,0.8895519375801086,0.4738747477531433,0.5523643493652344,0.5676248073577881,5,10.0,0.01,0.01,RL_Improve_Random
6,0.7046184539794922,0.8550893664360046,0.8552523851394653,0.646335780620575,0.8504714965820312,0.8542772531509399,5,10.0,0.01,0.01,RL_Improve_Random
7,0.8430233597755432,0.8528606295585632,0.8665696978569031,0.5551332831382751,0.5979523658752441,0.6369900107383728,5,10.0,0.01,0.01,RL_Improve_Random
8,0.8970866203308105,0.9164383411407471,0.9197266101837158,0.4144495129585266,0.5472739934921265,0.5565296411514282,5,10.0,0.01,0.01,RL_Improve_Random
9,0.8485074043273926,0.8881264925003052,0.9146782159805298,0.2079154998064041,0.21890516579151154,0.23720374703407288,5,10.0,0.01,0.01,RL_Improve_Random
10,0.6499167680740356,0.7719882130622864,0.7788833975791931,0.300576388835907,0.35741323232650757,0.3676758408546448,5,10.0,0.01,0.01,RL_Improve_Random
11,0.42638346552848816,0.4905546009540558,0.5072804689407349,0.175918310880661,0.1977052390575409,0.20758986473083496,5,10.0,0.01,0.01,RL_Improve_Random
12,0.7712864875793457,0.7862116098403931,0.7895401120185852,0.562411367893219,0.7029967904090881,0.7449259757995605,5,10.0,0.01,0.01,RL_Improve_Random
13,0.5990357398986816,0.6311207413673401,0.6378734111785889,0.5334926843643188,0.576334536075592,0.5912777781486511,5,10.0,0.01,0.01,RL_Improve_Random
14,0.8482527136802673,0.9005129337310791,0.9009395241737366,0.47719988226890564,0.5371307134628296,0.5407106876373291,5,10.0,0.01,0.01,RL_Improve_Random
15,0.7947782874107361,0.8286659121513367,0.8363873958587646,0.47447437047958374,0.561731219291687,0.6028138995170593,5,10.0,0.01,0.01,RL_Improve_Random
16,0.8806579113006592,0.8943361043930054,0.895589292049408,0.6192746758460999,0.665698230266571,0.6668558120727539,5,10.0,0.01,0.01,RL_Improve_Random
17,0.8817439079284668,0.9011864066123962,0.9033308029174805,0.5054774880409241,0.5418323278427124,0.5898393392562866,5,10.0,0.01,0.01,RL_Improve_Random
18,0.6874800324440002,0.7315603494644165,0.7382867932319641,0.3592262268066406,0.39821216464042664,0.40458860993385315,5,10.0,0.01,0.01,RL_Improve_Random
19,0.840365469455719,0.8538787364959717,0.8592239618301392,0.4825974404811859,0.5369831919670105,0.5427195429801941,5,10.0,0.01,0.01,RL_Improve_Random
20,0.7327379584312439,0.7868238687515259,0.7890661954879761,0.45147767663002014,0.5674516558647156,0.574664294719696,5,10.0,0.01,0.01,RL_Improve_Random
21,0.47329121828079224,0.5020729899406433,0.5041187405586243,0.2971070408821106,0.3269626200199127,0.3368499279022217,5,10.0,0.01,0.01,RL_Improve_Random
22,0.7515480518341064,0.7247896790504456,0.806865930557251,0.5107768774032593,0.5628573298454285,0.5892394781112671,5,10.0,0.01,0.01,RL_Improve_Random
23,0.7570427060127258,0.789711058139801,0.8078321814537048,0.5180606842041016,0.5549674034118652,0.5638628005981445,5,10.0,0.01,0.01,RL_Improve_Random
24,0.725441038608551,0.7324020266532898,0.7400103807449341,0.48841768503189087,0.5153003931045532,0.5226119160652161,5,10.0,0.01,0.01,RL_Improve_Random
25,0.8218255639076233,0.8713641166687012,0.8745958209037781,0.7442999482154846,0.853622317314148,0.8594261407852173,5,10.0,0.01,0.01,RL_Improve_Random
26,0.7630022168159485,0.8009821772575378,0.8029628992080688,0.588819682598114,0.6041952967643738,0.6215642094612122,5,10.0,0.01,0.01,RL_Improve_Random
27,0.8322994709014893,0.8454926609992981,0.8567663431167603,0.4767342507839203,0.49069133400917053,0.5107351541519165,5,10.0,0.01,0.01,RL_Improve_Random
28,0.6336169242858887,0.6608692407608032,0.6617940068244934,0.36880001425743103,0.3928411900997162,0.4002978205680847,5,10.0,0.01,0.01,RL_Improve_Random
29,0.4683658182621002,0.4971320629119873,0.5048144459724426,0.2811216115951538,0.29370468854904175,0.30251866579055786,5,10.0,0.01,0.01,RL_Improve_Random
30,0.8985565900802612,0.9045425653457642,0.9108541011810303,0.6381919384002686,0.7127883434295654,0.7183243036270142,5,10.0,0.01,0.01,RL_Improve_Random
31,0.809227466583252,0.855208694934845,0.8555518984794617,0.4976268708705902,0.541014552116394,0.545817494392395,5,10.0,0.01,0.01,RL_Improve_Random
32,0.8565455079078674,0.8670432567596436,0.8670432567596436,0.6049166917800903,0.6400059461593628,0.6524378657341003,5,10.0,0.01,0.01,RL_Improve_Random
33,0.8410146832466125,0.8423668742179871,0.8580761551856995,0.3952580392360687,0.42483386397361755,0.4381078779697418,5,10.0,0.01,0.01,RL_Improve_Random
34,0.37556248903274536,0.556286633014679,0.5566495656967163,0.3130618631839752,0.49311310052871704,0.4966453015804291,5,10.0,0.01,0.01,RL_Improve_Random
35,0.6214521527290344,0.6126059293746948,0.6441142559051514,0.41514143347740173,0.4140349328517914,0.437370240688324,5,10.0,0.01,0.01,RL_Improve_Random
36,0.6557453870773315,0.7100250124931335,0.7232693433761597,0.3724793791770935,0.40877828001976013,0.4298141598701477,5,10.0,0.01,0.01,RL_Improve_Random
37,0.7132174968719482,0.7558587193489075,0.7777966856956482,0.47330838441848755,0.5040879845619202,0.5150994062423706,5,10.0,0.01,0.01,RL_Improve_Random
38,0.821143388748169,0.8678270578384399,0.8735795021057129,0.6626077890396118,0.7252315282821655,0.7541027665138245,5,10.0,0.01,0.01,RL_Improve_Random
39,0.811757504940033,0.8178916573524475,0.8432848453521729,0.5480908155441284,0.6124959588050842,0.6287776827812195,5,10.0,0.01,0.01,RL_Improve_Random
40,0.7187029123306274,0.7243792414665222,0.7324180006980896,0.2561381161212921,0.268523633480072,0.2816069424152374,5,10.0,0.01,0.01,RL_Improve_Random
41,0.5831607580184937,0.5883613228797913,0.5908328294754028,0.38964614272117615,0.4170249104499817,0.42631855607032776,5,10.0,0.01,0.01,RL_Improve_Random
42,0.7237276434898376,0.7548050284385681,0.7594643831253052,0.45540302991867065,0.5220855474472046,0.5489042401313782,5,10.0,0.01,0.01,RL_Improve_Random
43,0.7014851570129395,0.7077229619026184,0.7238209843635559,0.3766639828681946,0.39416295289993286,0.42611297965049744,5,10.0,0.01,0.01,RL_Improve_Random
44,0.6274585127830505,0.709959864616394,0.7109683752059937,0.4890097677707672,0.541657567024231,0.5529483556747437,5,10.0,0.01,0.01,RL_Improve_Random
45,0.6081334948539734,0.6390778422355652,0.6399497389793396,0.4853042960166931,0.5875234603881836,0.6063467264175415,5,10.0,0.01,0.01,RL_Improve_Random
