episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.5562188625335693,0.5663127899169922,0.5840917229652405,0.2950821816921234,0.3223460614681244,0.3411328196525574,5,10.0,0.01,0.01,RL_Improve_Spherical
1,0.5861849188804626,0.6132683753967285,0.6144825220108032,0.17315244674682617,0.20684485137462616,0.2168722152709961,5,10.0,0.01,0.01,RL_Improve_Spherical
2,0.5566877722740173,0.6315112113952637,0.6495175361633301,0.19908592104911804,0.22810833156108856,0.24365083873271942,5,10.0,0.01,0.01,RL_Improve_Spherical
3,0.4604734778404236,0.4970795810222626,0.5067122578620911,0.25064611434936523,0.278024822473526,0.2920473515987396,5,10.0,0.01,0.01,RL_Improve_Spherical
4,0.5884923338890076,0.6148573160171509,0.6185234785079956,0.217858225107193,0.2636396288871765,0.27133721113204956,5,10.0,0.01,0.01,RL_Improve_Spherical
5,0.5498009920120239,0.6464478373527527,0.6672746539115906,0.28627488017082214,0.3123238980770111,0.3272324204444885,5,10.0,0.01,0.01,RL_Improve_Spherical
6,0.5604678392410278,0.6425239443778992,0.6448906064033508,0.2954511046409607,0.332166463136673,0.35326844453811646,5,10.0,0.01,0.01,RL_Improve_Spherical
7,0.5198389887809753,0.5549375414848328,0.5562803745269775,0.3124200701713562,0.33285316824913025,0.3410453200340271,5,10.0,0.01,0.01,RL_Improve_Spherical
8,0.4744105935096741,0.6142972111701965,0.617058515548706,0.22282865643501282,0.2990792691707611,0.30350643396377563,5,10.0,0.01,0.01,RL_Improve_Spherical
9,0.40720024704933167,0.4318704307079315,0.433207243680954,0.23650415241718292,0.25774145126342773,0.26545754075050354,5,10.0,0.01,0.01,RL_Improve_Spherical
10,0.3704146146774292,0.4301665127277374,0.436013787984848,0.20993223786354065,0.23568351566791534,0.25329455733299255,5,10.0,0.01,0.01,RL_Improve_Spherical
11,0.438167542219162,0.45146963000297546,0.4581753611564636,0.27604541182518005,0.298244833946228,0.3191608190536499,5,10.0,0.01,0.01,RL_Improve_Spherical
12,0.171878382563591,0.240019753575325,0.24120837450027466,0.09387701749801636,0.116721972823143,0.145433247089386,5,10.0,0.01,0.01,RL_Improve_Spherical
13,0.3469453454017639,0.39945313334465027,0.4112110137939453,0.15136118233203888,0.1594323366880417,0.18286141753196716,5,10.0,0.01,0.01,RL_Improve_Spherical
14,0.493635356426239,0.5241788029670715,0.534000813961029,0.2896556258201599,0.31566566228866577,0.3279739022254944,5,10.0,0.01,0.01,RL_Improve_Spherical
