episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.47698017954826355,0.5497903227806091,0.5552272796630859,0.3410446345806122,0.396445095539093,0.4078923761844635,5,10.0,0.01,0.01,RL_Random
1,0.7098847031593323,0.7430508732795715,0.7439972758293152,0.5329456329345703,0.5630326271057129,0.5697964429855347,5,10.0,0.01,0.01,RL_Random
2,0.4928582012653351,0.49648529291152954,0.5158318877220154,0.38143783807754517,0.3927775025367737,0.41326507925987244,5,10.0,0.01,0.01,RL_Random
3,0.7570184469223022,0.7857245206832886,0.788472056388855,0.29440566897392273,0.3128001391887665,0.3161556124687195,5,10.0,0.01,0.01,RL_Random
4,0.7726318836212158,0.7671344876289368,0.7824622392654419,0.474742591381073,0.4941217303276062,0.5070205926895142,5,10.0,0.01,0.01,RL_Random
5,0.6446013450622559,0.8260546326637268,0.8317883014678955,0.22829218208789825,0.2734689712524414,0.28181806206703186,5,10.0,0.01,0.01,RL_Random
6,0.5007217526435852,0.5446205735206604,0.5446205735206604,0.38988280296325684,0.42218345403671265,0.4313177168369293,5,10.0,0.01,0.01,RL_Random
7,0.6091760396957397,0.6393294334411621,0.6518386602401733,0.31250038743019104,0.3196006715297699,0.33578765392303467,5,10.0,0.01,0.01,RL_Random
8,0.7288028001785278,0.7543680667877197,0.7616933584213257,0.42793798446655273,0.4477577805519104,0.4594426155090332,5,10.0,0.01,0.01,RL_Random
9,0.6697583794593811,0.6761783957481384,0.7046886682510376,0.5249677300453186,0.5593838691711426,0.5771707892417908,5,10.0,0.01,0.01,RL_Random
10,0.7491338849067688,0.7827970385551453,0.7839822769165039,0.6341285705566406,0.6763431429862976,0.6812563538551331,5,10.0,0.01,0.01,RL_Random
11,0.9050946235656738,0.9319085478782654,0.9408583045005798,0.5250952839851379,0.5312908291816711,0.5489057302474976,5,10.0,0.01,0.01,RL_Random
12,0.7207195162773132,0.7631450295448303,0.7690174579620361,0.5832740664482117,0.6144908666610718,0.6231297254562378,5,10.0,0.01,0.01,RL_Random
13,0.6603734493255615,0.6844898462295532,0.7252664566040039,0.5444665551185608,0.5693942904472351,0.5900030136108398,5,10.0,0.01,0.01,RL_Random
14,0.6332316994667053,0.6758574843406677,0.699182391166687,0.15295033156871796,0.17303064465522766,0.18322022259235382,5,10.0,0.01,0.01,RL_Random
15,0.7981693744659424,0.8277431726455688,0.8426217436790466,0.45270758867263794,0.4661450982093811,0.4788532853126526,5,10.0,0.01,0.01,RL_Random
16,0.6661783456802368,0.6752854585647583,0.6989437341690063,0.3001556992530823,0.39102333784103394,0.40486136078834534,5,10.0,0.01,0.01,RL_Random
17,0.6807119250297546,0.7174040675163269,0.723027765750885,0.47314009070396423,0.5081804990768433,0.5194552540779114,5,10.0,0.01,0.01,RL_Random
18,0.6620436310768127,0.6513119339942932,0.7041163444519043,0.2554296851158142,0.2598954141139984,0.28498321771621704,5,10.0,0.01,0.01,RL_Random
19,0.6088021993637085,0.7703426480293274,0.7878396511077881,0.2911483347415924,0.33493560552597046,0.35783904790878296,5,10.0,0.01,0.01,RL_Random
20,0.7370647192001343,0.7884535193443298,0.7915874123573303,0.3756997585296631,0.42459607124328613,0.4336441159248352,5,10.0,0.01,0.01,RL_Random
21,0.4493085741996765,0.4904496371746063,0.5009276866912842,0.2783644199371338,0.3091800808906555,0.315988153219223,5,10.0,0.01,0.01,RL_Random
22,0.6959657073020935,0.7014402151107788,0.7092986702919006,0.39310479164123535,0.40641433000564575,0.43016505241394043,5,10.0,0.01,0.01,RL_Random
23,0.6696763634681702,0.68019700050354,0.6940727829933167,0.30664539337158203,0.32379478216171265,0.3364880084991455,5,10.0,0.01,0.01,RL_Random
24,0.5162191987037659,0.5494630932807922,0.5523646473884583,0.33230364322662354,0.3768530488014221,0.3864527642726898,5,10.0,0.01,0.01,RL_Random
25,0.48989856243133545,0.5009711980819702,0.5175286531448364,0.3539974093437195,0.3766016364097595,0.39122945070266724,5,10.0,0.01,0.01,RL_Random
26,0.4822472035884857,0.4923628270626068,0.49620339274406433,0.283101886510849,0.2938554883003235,0.30584099888801575,5,10.0,0.01,0.01,RL_Random
27,0.6306041479110718,0.688688337802887,0.6892328858375549,0.3786714971065521,0.41794997453689575,0.4370061457157135,5,10.0,0.01,0.01,RL_Random
28,0.6392028331756592,0.6733165383338928,0.6758190393447876,0.38723093271255493,0.4787237048149109,0.4874078631401062,5,10.0,0.01,0.01,RL_Random
29,0.42341357469558716,0.44430455565452576,0.4464840590953827,0.1690497100353241,0.17789360880851746,0.19342628121376038,5,10.0,0.01,0.01,RL_Random
30,0.7130797505378723,0.8337045907974243,0.8417946100234985,0.21690961718559265,0.24920181930065155,0.25586894154548645,5,10.0,0.01,0.01,RL_Random
31,0.7881219983100891,0.8585208654403687,0.8613162040710449,0.45334792137145996,0.4667605459690094,0.4834367632865906,5,10.0,0.01,0.01,RL_Random
32,0.3924666941165924,0.5902502536773682,0.603966474533081,0.22861075401306152,0.36118441820144653,0.3745157718658447,5,10.0,0.01,0.01,RL_Random
33,0.6107917428016663,0.6820899248123169,0.6919282674789429,0.5234334468841553,0.5639254450798035,0.5693013668060303,5,10.0,0.01,0.01,RL_Random
34,0.8395256996154785,0.8873923420906067,0.9103372693061829,0.2972338795661926,0.3127370774745941,0.3325755000114441,5,10.0,0.01,0.01,RL_Random
35,0.5994743704795837,0.6345595121383667,0.6387925744056702,0.34193938970565796,0.37569886445999146,0.38138023018836975,5,10.0,0.01,0.01,RL_Random
36,0.6550437211990356,0.7615156769752502,0.7711917161941528,0.46422290802001953,0.5173690319061279,0.54301518201828,5,10.0,0.01,0.01,RL_Random
37,0.9380165934562683,0.9669237732887268,0.9728343486785889,0.5287863612174988,0.5353379845619202,0.5627147555351257,5,10.0,0.01,0.01,RL_Random
38,0.7981844544410706,0.8263106346130371,0.8350332379341125,0.363346666097641,0.3931814730167389,0.4159780442714691,5,10.0,0.01,0.01,RL_Random
39,0.95855712890625,0.9729865193367004,0.9731767177581787,0.5751398205757141,0.6022023558616638,0.6111648082733154,5,10.0,0.01,0.01,RL_Random
40,0.6915835738182068,0.7083511352539062,0.7096742987632751,0.6156598329544067,0.6508613228797913,0.6622193455696106,5,10.0,0.01,0.01,RL_Random
41,0.7599103450775146,0.8352091908454895,0.840452253818512,0.4889862537384033,0.5429942011833191,0.5516109466552734,5,10.0,0.01,0.01,RL_Random
42,0.6917285323143005,0.7628806233406067,0.7705941200256348,0.48048344254493713,0.5683428049087524,0.5804200172424316,5,10.0,0.01,0.01,RL_Random
43,0.44868987798690796,0.5270927548408508,0.532107949256897,0.2908293604850769,0.3138505816459656,0.32571762800216675,5,10.0,0.01,0.01,RL_Random
44,0.7418979406356812,0.8141278624534607,0.820992648601532,0.5714864730834961,0.5942770838737488,0.6080635190010071,5,10.0,0.01,0.01,RL_Random
45,0.4452613890171051,0.5082931518554688,0.5278161764144897,0.19230106472969055,0.2562336027622223,0.27528172731399536,5,10.0,0.01,0.01,RL_Random
46,0.4981304109096527,0.541728138923645,0.5449148416519165,0.24798345565795898,0.30466777086257935,0.31493496894836426,5,10.0,0.01,0.01,RL_Random
