episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.6208822131156921,0.6316596865653992,0.6515243053436279,0.37690290808677673,0.41142964363098145,0.43466368317604065,5,10.0,0.01,0.01,RL_Spherical
1,0.4234023988246918,0.478736937046051,0.4993501901626587,0.2633540630340576,0.329633891582489,0.3397647738456726,5,10.0,0.01,0.01,RL_Spherical
2,0.5862460732460022,0.5889772772789001,0.6107637882232666,0.3890303671360016,0.40848174691200256,0.41700753569602966,5,10.0,0.01,0.01,RL_Spherical
3,0.36607882380485535,0.3405514061450958,0.3935214877128601,0.20163488388061523,0.2052384316921234,0.2334119826555252,5,10.0,0.01,0.01,RL_Spherical
4,0.5003926157951355,0.6426694989204407,0.6438875198364258,0.39572471380233765,0.43282032012939453,0.45323604345321655,5,10.0,0.01,0.01,RL_Spherical
5,0.4678668677806854,0.5915133357048035,0.6169012784957886,0.34083470702171326,0.4159429967403412,0.4263131022453308,5,10.0,0.01,0.01,RL_Spherical
6,0.39495617151260376,0.543635904788971,0.5604354739189148,0.23536257445812225,0.26648250222206116,0.2882099151611328,5,10.0,0.01,0.01,RL_Spherical
7,0.6233336329460144,0.6639717817306519,0.6774961948394775,0.2800619900226593,0.322770893573761,0.34706562757492065,5,10.0,0.01,0.01,RL_Spherical
8,0.4145696759223938,0.4332544505596161,0.4408408999443054,0.2313677817583084,0.2748469412326813,0.2885855436325073,5,10.0,0.01,0.01,RL_Spherical
9,0.3959275782108307,0.42595794796943665,0.4637565612792969,0.19547000527381897,0.2285090684890747,0.25016045570373535,5,10.0,0.01,0.01,RL_Spherical
10,0.5991591811180115,0.618274450302124,0.6194524168968201,0.32983046770095825,0.34565621614456177,0.35803359746932983,5,10.0,0.01,0.01,RL_Spherical
11,0.3263152837753296,0.4144696295261383,0.4395855963230133,0.17355944216251373,0.22329363226890564,0.24292096495628357,5,10.0,0.01,0.01,RL_Spherical
12,0.24550405144691467,0.2897806763648987,0.2931811809539795,0.11702630668878555,0.1429114192724228,0.1619597226381302,5,10.0,0.01,0.01,RL_Spherical
13,0.32374081015586853,0.5521701574325562,0.5528666973114014,0.21033735573291779,0.29146045446395874,0.3004489541053772,5,10.0,0.01,0.01,RL_Spherical
14,0.5583128929138184,0.6580864191055298,0.6827835440635681,0.42404717206954956,0.48341813683509827,0.4937661588191986,5,10.0,0.01,0.01,RL_Spherical
15,0.5303683876991272,0.5187876224517822,0.5515941381454468,0.384270578622818,0.38951683044433594,0.4038522243499756,5,10.0,0.01,0.01,RL_Spherical
16,0.5422029495239258,0.69587641954422,0.6971017718315125,0.27434539794921875,0.30725327134132385,0.3165694773197174,5,10.0,0.01,0.01,RL_Spherical
17,0.6040195226669312,0.6223551630973816,0.6429070830345154,0.390758752822876,0.42215919494628906,0.43670588731765747,5,10.0,0.01,0.01,RL_Spherical
18,0.31327128410339355,0.3346961736679077,0.34843453764915466,0.14130094647407532,0.15777097642421722,0.19102799892425537,5,10.0,0.01,0.01,RL_Spherical
19,0.5298237800598145,0.5380151867866516,0.5443314909934998,0.2953164279460907,0.31276383996009827,0.32130616903305054,5,10.0,0.01,0.01,RL_Spherical
20,0.5822728872299194,0.7187837362289429,0.7803861498832703,0.2300904095172882,0.25708848237991333,0.29083678126335144,5,10.0,0.01,0.01,RL_Spherical
21,0.38918304443359375,0.4967135190963745,0.49913549423217773,0.10148948431015015,0.15023258328437805,0.16155695915222168,5,10.0,0.01,0.01,RL_Spherical
22,0.1935434490442276,0.29359373450279236,0.3205645978450775,0.131340891122818,0.17348706722259521,0.19355180859565735,5,10.0,0.01,0.01,RL_Spherical
23,0.46332988142967224,0.4956241250038147,0.5114237666130066,0.2705138027667999,0.3090605139732361,0.32387980818748474,5,10.0,0.01,0.01,RL_Spherical
24,0.38649982213974,0.4178658127784729,0.4227205216884613,0.20061536133289337,0.22608104348182678,0.2330363541841507,5,10.0,0.01,0.01,RL_Spherical
25,0.5710942149162292,0.5703704357147217,0.5912472605705261,0.42201313376426697,0.43795132637023926,0.45701494812965393,5,10.0,0.01,0.01,RL_Spherical
26,0.7388912439346313,0.9341597557067871,0.9345716238021851,0.19027483463287354,0.22894711792469025,0.24906747043132782,5,10.0,0.01,0.01,RL_Spherical
27,0.4447838068008423,0.6850218176841736,0.6940480470657349,0.2918702960014343,0.35358789563179016,0.36486753821372986,5,10.0,0.01,0.01,RL_Spherical
28,0.6459536552429199,0.671053409576416,0.671053409576416,0.3832728862762451,0.40096455812454224,0.4072575569152832,5,10.0,0.01,0.01,RL_Spherical
