episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.5802232027053833,0.6187953948974609,0.8463056683540344,0.34201544523239136,0.37330639362335205,0.5533255338668823,5,10.0,0.01,0.01,Random_Random
1,0.40971705317497253,0.28386756777763367,0.7330459952354431,0.18955941498279572,0.15223316848278046,0.39018622040748596,5,10.0,0.01,0.01,Random_Random
2,0.5187634825706482,0.4438835084438324,0.8420722484588623,0.24310946464538574,0.2624380588531494,0.40365466475486755,5,10.0,0.01,0.01,Random_Random
3,0.547886848449707,0.7192211151123047,0.8012377023696899,0.34384146332740784,0.4210309088230133,0.5988678932189941,5,10.0,0.01,0.01,Random_Random
4,0.34070083498954773,0.47069939970970154,0.6648533344268799,0.16946867108345032,0.19724099338054657,0.3541059195995331,5,10.0,0.01,0.01,Random_Random
5,0.3749150335788727,0.6951156258583069,0.7420228123664856,0.14092636108398438,0.20351651310920715,0.3123013377189636,5,10.0,0.01,0.01,Random_Random
6,0.30621808767318726,0.23471669852733612,0.746868371963501,0.1402864158153534,0.09102966636419296,0.3038283586502075,5,10.0,0.01,0.01,Random_Random
7,0.4332503080368042,0.421639084815979,0.8108357787132263,0.19534766674041748,0.23239736258983612,0.41119617223739624,5,10.0,0.01,0.01,Random_Random
8,0.42048490047454834,0.6727462410926819,0.821850061416626,0.25842881202697754,0.2873840928077698,0.5993101000785828,5,10.0,0.01,0.01,Random_Random
9,0.7895218729972839,0.6882035136222839,0.9302323460578918,0.36094263195991516,0.29105961322784424,0.6480734348297119,5,10.0,0.01,0.01,Random_Random
10,0.797311544418335,0.3372710049152374,0.8909657597541809,0.31455346941947937,0.19236800074577332,0.5008119344711304,5,10.0,0.01,0.01,Random_Random
11,0.5754055976867676,0.1561604142189026,0.8455856442451477,0.1828695833683014,0.09148775041103363,0.3064839839935303,5,10.0,0.01,0.01,Random_Random
12,0.40222370624542236,0.14813140034675598,0.6704534292221069,0.2595617175102234,0.09766148030757904,0.46038001775741577,5,10.0,0.01,0.01,Random_Random
13,0.08717144280672073,0.41835835576057434,0.44551363587379456,0.02778450772166252,0.10228552669286728,0.12592099606990814,5,10.0,0.01,0.01,Random_Random
14,0.21415555477142334,0.35430270433425903,0.6431654691696167,0.1108594760298729,0.13751375675201416,0.32763808965682983,5,10.0,0.01,0.01,Random_Random
15,0.40281593799591064,0.6949769854545593,0.7252023220062256,0.26119673252105713,0.40779876708984375,0.5282285213470459,5,10.0,0.01,0.01,Random_Random
16,0.5334599018096924,0.7009111642837524,0.9210997223854065,0.33677443861961365,0.36160218715667725,0.545333206653595,5,10.0,0.01,0.01,Random_Random
17,0.3851127624511719,0.24096281826496124,0.6168904304504395,0.18282735347747803,0.14633558690547943,0.34205785393714905,5,10.0,0.01,0.01,Random_Random
18,0.22896714508533478,0.49942800402641296,0.6036030650138855,0.12423057854175568,0.1667918860912323,0.2789512276649475,5,10.0,0.01,0.01,Random_Random
19,0.5021196007728577,0.6236522793769836,0.893720805644989,0.2510219216346741,0.19067496061325073,0.43200844526290894,5,10.0,0.01,0.01,Random_Random
20,0.3061876893043518,0.17063404619693756,0.4583943784236908,0.15398505330085754,0.056206583976745605,0.2904655635356903,5,10.0,0.01,0.01,Random_Random
21,0.3783905506134033,0.47867634892463684,0.5263598561286926,0.2521074414253235,0.2734665274620056,0.3560819923877716,5,10.0,0.01,0.01,Random_Random
22,0.4314846694469452,0.6646137237548828,0.6831337213516235,0.1480364203453064,0.20852021872997284,0.2612836956977844,5,10.0,0.01,0.01,Random_Random
23,0.474648118019104,0.2541678845882416,0.7856040000915527,0.2473682463169098,0.1864197999238968,0.4768412113189697,5,10.0,0.01,0.01,Random_Random
24,0.46386346220970154,0.46234330534935,0.6686521172523499,0.24305355548858643,0.23851212859153748,0.40619659423828125,5,10.0,0.01,0.01,Random_Random
25,0.2155785709619522,0.36358606815338135,0.3820137083530426,0.11253847181797028,0.15136262774467468,0.23744897544384003,5,10.0,0.01,0.01,Random_Random
26,0.336834192276001,0.2390313446521759,0.8209578990936279,0.14647546410560608,0.09172872453927994,0.3913654386997223,5,10.0,0.01,0.01,Random_Random
27,0.2564082741737366,0.33022499084472656,0.6179087162017822,0.15010961890220642,0.10784503072500229,0.364920049905777,5,10.0,0.01,0.01,Random_Random
28,0.5583420395851135,0.6888130307197571,0.7996960878372192,0.3304212689399719,0.44034165143966675,0.5153216123580933,5,10.0,0.01,0.01,Random_Random
29,0.3145796060562134,0.2824372351169586,0.5545688271522522,0.1734594702720642,0.13975203037261963,0.34451916813850403,5,10.0,0.01,0.01,Random_Random
30,0.5743567943572998,0.4748842418193817,0.839022696018219,0.32628265023231506,0.2944069802761078,0.485991895198822,5,10.0,0.01,0.01,Random_Random
31,0.42155182361602783,0.33748701214790344,0.6828398108482361,0.12591543793678284,0.11471574008464813,0.23658493161201477,5,10.0,0.01,0.01,Random_Random
32,0.46700531244277954,0.5601617097854614,0.6448953151702881,0.3480662405490875,0.2921076714992523,0.5721460580825806,5,10.0,0.01,0.01,Random_Random
33,0.48328712582588196,0.882645845413208,0.882645845413208,0.26192188262939453,0.3218943178653717,0.4650813937187195,5,10.0,0.01,0.01,Random_Random
34,0.40744686126708984,0.65277498960495,0.7346843481063843,0.19287562370300293,0.25617462396621704,0.43517881631851196,5,10.0,0.01,0.01,Random_Random
35,0.5078811049461365,0.4332268536090851,0.6931118965148926,0.2345692217350006,0.18285895884037018,0.41787153482437134,5,10.0,0.01,0.01,Random_Random
36,0.5996497869491577,0.7384332418441772,0.9168155789375305,0.3799019157886505,0.356658399105072,0.6277207136154175,5,10.0,0.01,0.01,Random_Random
37,0.4602307975292206,0.767726719379425,0.7900394797325134,0.26673176884651184,0.34480902552604675,0.5676358938217163,5,10.0,0.01,0.01,Random_Random
