episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.8472135663032532,0.8922563791275024,0.9096652865409851,0.4760800898075104,0.5243343114852905,0.5429472327232361,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
1,0.8002634048461914,0.8772093653678894,0.8874897360801697,0.2532113492488861,0.3550436496734619,0.3581250309944153,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
2,0.7874441742897034,0.8238186240196228,0.824192225933075,0.4608180522918701,0.49009615182876587,0.5019410252571106,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
3,0.677120566368103,0.6979725956916809,0.7130131721496582,0.42598262429237366,0.47270089387893677,0.5029858946800232,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
4,0.6226047277450562,0.6192566156387329,0.6460902690887451,0.27579134702682495,0.2817383408546448,0.29977747797966003,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
5,0.9052082300186157,0.9287053942680359,0.9454631209373474,0.48995280265808105,0.5538499355316162,0.5668411254882812,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
6,0.6367834806442261,0.6599358916282654,0.667282223701477,0.33991801738739014,0.42346906661987305,0.4282403588294983,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
7,0.7969067096710205,0.8596278429031372,0.8673225045204163,0.48936691880226135,0.5100330710411072,0.5214303135871887,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
8,0.6038033962249756,0.6816512942314148,0.6840071678161621,0.49590811133384705,0.5294718742370605,0.537246823310852,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
9,0.6601107120513916,0.6895193457603455,0.6898934245109558,0.35523244738578796,0.3782355785369873,0.37983375787734985,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
10,0.5261586308479309,0.564149022102356,0.5689601302146912,0.2503189444541931,0.29495033621788025,0.30700206756591797,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
11,0.8089568018913269,0.838967502117157,0.8478817939758301,0.6235674619674683,0.6499205827713013,0.654739260673523,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
12,0.7643104195594788,0.7966622114181519,0.8258131742477417,0.4665861129760742,0.49146127700805664,0.5114836692810059,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
13,0.75946444272995,0.7689411044120789,0.7777675986289978,0.5042203068733215,0.5133916139602661,0.531822681427002,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
14,0.7429873943328857,0.7256481051445007,0.7779471278190613,0.4135146141052246,0.44101056456565857,0.4551808834075928,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
15,0.676952600479126,0.7637558579444885,0.7651239037513733,0.3838508427143097,0.5300731062889099,0.5434907078742981,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
16,0.5997632741928101,0.6025204658508301,0.6271109580993652,0.4055590033531189,0.44434088468551636,0.4658729135990143,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
17,0.7610313892364502,0.8108941912651062,0.8129364252090454,0.5589044094085693,0.631867527961731,0.6420208215713501,5,0.0,0.01,0.01,Best_RL_Improve_RL_NOCOG
