episode,normalized_cumulative_reward,final_rewards,best_reward,mean_normalized_cumulative_reward,mean_final_rewards,mean_best_reward,n_agents,comm_radius,movement_noise,sample_noise,model
0,0.6748793721199036,0.6890513896942139,0.7047193646430969,0.4128170907497406,0.4324091076850891,0.43843263387680054,5,0.0,0.01,0.01,Heur_Only
1,0.8150405883789062,0.8221650123596191,0.8232619762420654,0.270167738199234,0.27700361609458923,0.28007954359054565,5,0.0,0.01,0.01,Heur_Only
2,0.7163730263710022,0.7431761622428894,0.744636058807373,0.1825508177280426,0.18853795528411865,0.19348755478858948,5,0.0,0.01,0.01,Heur_Only
3,0.6142390966415405,0.641008734703064,0.6476082801818848,0.40772026777267456,0.4175638258457184,0.4247373640537262,5,0.0,0.01,0.01,Heur_Only
4,0.4994656443595886,0.5206706523895264,0.526620626449585,0.24378979206085205,0.2724224328994751,0.2768917977809906,5,0.0,0.01,0.01,Heur_Only
5,0.7790529727935791,0.8122813105583191,0.8128386735916138,0.5422082543373108,0.5659435987472534,0.5736348032951355,5,0.0,0.01,0.01,Heur_Only
6,0.6773838400840759,0.6858192086219788,0.691965639591217,0.3556543290615082,0.3726027011871338,0.3785936236381531,5,0.0,0.01,0.01,Heur_Only
7,0.833113431930542,0.8285022377967834,0.8593363761901855,0.42360979318618774,0.4339473247528076,0.4417285919189453,5,0.0,0.01,0.01,Heur_Only
8,0.7753981351852417,0.7884393334388733,0.7942542433738708,0.4058762490749359,0.4209393858909607,0.4272187650203705,5,0.0,0.01,0.01,Heur_Only
9,0.537976861000061,0.5499196648597717,0.5663245320320129,0.20870688557624817,0.20991797745227814,0.22197768092155457,5,0.0,0.01,0.01,Heur_Only
10,0.47379350662231445,0.533568263053894,0.5336970090866089,0.28921642899513245,0.311935693025589,0.32530850172042847,5,0.0,0.01,0.01,Heur_Only
11,0.6549810767173767,0.6906066536903381,0.6915777921676636,0.31893429160118103,0.3456750810146332,0.34765106439590454,5,0.0,0.01,0.01,Heur_Only
12,0.5075973868370056,0.5873476266860962,0.5982372164726257,0.18605142831802368,0.2263491451740265,0.23444005846977234,5,0.0,0.01,0.01,Heur_Only
13,0.6160538792610168,0.7781965136528015,0.7792500853538513,0.38749200105667114,0.44156724214553833,0.44725075364112854,5,0.0,0.01,0.01,Heur_Only
14,0.5421345829963684,0.696598470211029,0.7222743034362793,0.26735299825668335,0.3068363666534424,0.3173793852329254,5,0.0,0.01,0.01,Heur_Only
15,0.7458009719848633,0.7757635712623596,0.7821851968765259,0.22431020438671112,0.2529061734676361,0.2580972909927368,5,0.0,0.01,0.01,Heur_Only
16,0.8525028824806213,0.9085975885391235,0.9136252999305725,0.5880488157272339,0.6336479783058167,0.6444444060325623,5,0.0,0.01,0.01,Heur_Only
17,0.398758202791214,0.3815445303916931,0.414416640996933,0.15702217817306519,0.17032401263713837,0.1791067272424698,5,0.0,0.01,0.01,Heur_Only
18,0.6723781228065491,0.6775662899017334,0.683761477470398,0.33913129568099976,0.41101163625717163,0.41612616181373596,5,0.0,0.01,0.01,Heur_Only
19,0.8391276001930237,0.8907097578048706,0.891645073890686,0.49165430665016174,0.5071933269500732,0.5156916379928589,5,0.0,0.01,0.01,Heur_Only
20,0.8676422834396362,0.9177278876304626,0.9194356203079224,0.49686917662620544,0.5240464806556702,0.5292062759399414,5,0.0,0.01,0.01,Heur_Only
21,0.8313219547271729,0.8434953093528748,0.8477698564529419,0.4477263391017914,0.4614425301551819,0.4680103361606598,5,0.0,0.01,0.01,Heur_Only
22,0.7550755739212036,0.8209376335144043,0.8328896164894104,0.44767624139785767,0.47651466727256775,0.4850289821624756,5,0.0,0.01,0.01,Heur_Only
23,0.26614144444465637,0.2792888879776001,0.28087979555130005,0.1460045427083969,0.15838386118412018,0.16371506452560425,5,0.0,0.01,0.01,Heur_Only
24,0.1445222645998001,0.1463070511817932,0.15573033690452576,0.0860833078622818,0.0912887305021286,0.09880620241165161,5,0.0,0.01,0.01,Heur_Only
25,0.7200069427490234,0.7340970635414124,0.7368592023849487,0.4757705330848694,0.49690669775009155,0.5041279792785645,5,0.0,0.01,0.01,Heur_Only
26,0.8280491828918457,0.9013662338256836,0.9029247164726257,0.46300143003463745,0.4843320846557617,0.495861679315567,5,0.0,0.01,0.01,Heur_Only
27,0.7648651003837585,0.7652386426925659,0.775049090385437,0.5183596611022949,0.518620491027832,0.5379301905632019,5,0.0,0.01,0.01,Heur_Only
28,0.8629408478736877,0.8556818962097168,0.8882458806037903,0.4566473066806793,0.49928316473960876,0.5072141885757446,5,0.0,0.01,0.01,Heur_Only
29,0.653519868850708,0.65153568983078,0.6836146712303162,0.3314363360404968,0.3350527882575989,0.34749871492385864,5,0.0,0.01,0.01,Heur_Only
30,0.026550885289907455,0.025194751098752022,0.03802037239074707,0.013321734964847565,0.012408825568854809,0.017418919131159782,5,0.0,0.01,0.01,Heur_Only
31,0.1946617215871811,0.21343648433685303,0.2152644246816635,0.06669106334447861,0.0810457319021225,0.08429757505655289,5,0.0,0.01,0.01,Heur_Only
32,0.8363237380981445,0.8531845808029175,0.8538277745246887,0.39137059450149536,0.4087447226047516,0.41817575693130493,5,0.0,0.01,0.01,Heur_Only
33,0.40930071473121643,0.5870269536972046,0.5974252223968506,0.2877116799354553,0.3370025157928467,0.3450740575790405,5,0.0,0.01,0.01,Heur_Only
34,0.6705554723739624,0.6980516314506531,0.6983743906021118,0.42922037839889526,0.4418672025203705,0.4517892003059387,5,0.0,0.01,0.01,Heur_Only
35,0.8021999001502991,0.8465864062309265,0.8499719500541687,0.5869818925857544,0.621086061000824,0.6305426359176636,5,0.0,0.01,0.01,Heur_Only
36,0.8895760774612427,0.9139265418052673,0.914043128490448,0.5895068049430847,0.6086180806159973,0.6166502237319946,5,0.0,0.01,0.01,Heur_Only
37,0.7668175101280212,0.7862272262573242,0.7902622222900391,0.5397121906280518,0.5718711018562317,0.5822404623031616,5,0.0,0.01,0.01,Heur_Only
38,0.7498009204864502,0.7871996164321899,0.789337158203125,0.3894301652908325,0.40528663992881775,0.4164358079433441,5,0.0,0.01,0.01,Heur_Only
39,0.8077131509780884,0.8230499029159546,0.8441604971885681,0.45945581793785095,0.47430744767189026,0.48045405745506287,5,0.0,0.01,0.01,Heur_Only
40,0.8014398217201233,0.8177653551101685,0.8191729187965393,0.5043156147003174,0.5446337461471558,0.5521195530891418,5,0.0,0.01,0.01,Heur_Only
41,0.7353330850601196,0.7373979687690735,0.7470535635948181,0.3697090148925781,0.38940536975860596,0.3937380313873291,5,0.0,0.01,0.01,Heur_Only
42,0.6779554486274719,0.6889394521713257,0.7142301797866821,0.5037918090820312,0.5131274461746216,0.5355761647224426,5,0.0,0.01,0.01,Heur_Only
